ds,yhat,yhat_lower,yhat_upper
2026-09-16,4.9488,4.897466036097524,5.000133963902477
2026-09-17,4.9488,4.87620281258521,5.021397187414791
2026-09-18,4.9488,4.859886967259375,5.037713032740625
2026-09-21,4.9488,4.846132073354271,5.05146792664573
2026-09-22,4.9488,4.834013768541997,5.063586231458004
2026-09-23,4.9488,4.823057983541985,5.0745420164580155
2026-09-24,4.9488,4.812983099455462,5.084616900544539
2026-09-25,4.9488,4.803605625990115,5.093994374009886
2026-09-28,4.9488,4.794798110353412,5.102801889646589
2026-09-29,4.9488,4.78646775494278,5.11113224505722
2026-09-30,4.9488,4.778544505063964,5.1190554949360365
2026-10-01,4.9488,4.770973935188027,5.1266260648119735
2026-10-02,4.9488,4.76371276354889,5.133887236451111
2026-10-05,4.9488,4.756725897456979,5.140874102543021
2026-10-06,4.9488,4.749984415504458,5.147615584495543
2026-10-07,4.9488,4.743464147288153,5.154135852711848
2026-10-08,4.9488,4.73714464764741,5.1604553523525905
2026-10-09,4.9488,4.731008439212865,5.166591560787135
2026-10-12,4.9488,4.725040442169069,5.172559557830931
2026-10-13,4.9488,4.719227537602414,5.178372462397586
2026-10-14,4.9488,4.7135582280676145,5.184041771932386
2026-10-15,4.9488,4.708022370157679,5.189577629842321
2026-10-16,4.9488,4.702610961245056,5.194989038754945
2026-10-19,4.9488,4.697315967557222,5.200284032442779
2026-10-20,4.9488,4.692130184197133,5.205469815802868
2026-10-21,4.9488,4.687047120140245,5.210552879859756
2026-10-22,4.9488,4.682060902967951,5.21553909703205
2026-10-23,4.9488,4.6771661993490685,5.220433800650932
2026-10-26,4.9488,4.672358148199902,5.2252418518000985
2026-10-27,4.9488,4.667632304136366,5.2299676958636345
2026-10-28,4.9488,4.662984589345042,5.234615410654959
2026-10-29,4.9488,4.658411252390077,5.239188747609924
2026-10-30,4.9488,4.65390883277206,5.243691167227941
2026-11-02,4.9488,4.649474130286648,5.248125869713353
2026-11-03,4.9488,4.645104178411603,5.252495821588398
2026-11-04,4.9488,4.640796221093232,5.256803778906769
2026-11-05,4.9488,4.636547692416138,5.261052307583863
2026-11-06,4.9488,4.632356198730258,5.265243801269743
2026-11-09,4.9488,4.628219502881661,5.269380497118339
2026-11-10,4.9488,4.624135510252139,5.2734644897478615
2026-11-11,4.9488,4.6201022563602905,5.27749774363971
2026-11-12,4.9488,4.61611789581579,5.281482104184211
2026-11-13,4.9488,4.61218069245061,5.2854193075493905
2026-11-16,4.9488,4.6082890104774465,5.289310989522554
2026-11-17,4.9488,4.604441306547627,5.293158693452374
2026-11-18,4.9488,4.600636122599108,5.296963877400892
2026-11-19,4.9488,4.596872079400596,5.300727920599405
2026-11-20,4.9488,4.593147870710693,5.304452129289308
2026-11-23,4.9488,4.589462257981971,5.30813774201803
2026-11-24,4.9488,4.585814065549073,5.311785934450928
2026-11-25,4.9488,4.582202176247853,5.315397823752147
2026-11-26,4.9488,4.578625527419289,5.318974472580711
2026-11-27,4.9488,4.5750831072576394,5.322516892742361
2026-11-30,4.9488,4.571573951467291,5.32602604853271
2026-12-01,4.9488,4.568097140196977,5.329502859803023
2026-12-02,4.9488,4.564651795223774,5.332948204776226
2026-12-03,4.9488,4.561237077362406,5.336362922637595
2026-12-04,4.9488,4.557852184078244,5.339747815921757
2026-12-07,4.9488,4.554496347284749,5.343103652715252
2026-12-08,4.9488,4.5511688313082255,5.346431168691775
2026-12-09,4.9488,4.547868931004613,5.349731068995387
2026-12-10,4.9488,4.5445959700146705,5.35300402998533
2026-12-11,4.9488,4.54134929914531,5.356250700854691
2026-12-14,4.9488,4.538128294866111,5.35947170513389
