ds,yhat,yhat_lower,yhat_upper
2026-08-31,34.5843433043655,34.38560182430216,34.78308478442884
2026-09-01,34.60627743649071,34.322828913542416,34.889725959439
2026-09-02,34.6281029370649,34.27803093945331,34.978174934676495
2026-09-03,34.64982034409952,34.24222296021049,35.05741772798854
2026-09-04,34.67143019294141,34.2119588908508,35.13090149503201
2026-09-07,34.69293301628607,34.18548843553849,35.20037759703365
2026-09-08,34.71432934419076,34.16178200420332,35.2668766841782
2026-09-09,34.73561970408755,34.14017547153421,35.33106393664089
2026-09-10,34.75680462079633,34.12021227865246,35.3933969629402
2026-09-11,34.777884616537776,34.10156353368437,35.45420569939118
2026-09-14,34.79886021094619,34.08398367129794,35.51373675059443
2026-09-15,34.81973192108231,34.06728407554,35.572179766624615
2026-09-16,34.84050026144608,34.0513165121871,35.62968401070506
2026-09-17,34.86116574398932,34.03596225690467,35.68636923107397
2026-09-18,34.88172887812832,34.02112469916107,35.74233305709557
2026-09-21,34.902190170756455,34.006724156245184,35.797656185267726
2026-09-22,34.92255012625662,33.99269414217161,35.852406110341626
2026-09-23,34.9428092465137,33.97897862311556,35.906639869911835
2026-09-24,34.96296803092694,33.965529959152036,35.96040610270184
2026-09-25,34.98302697642223,33.95230733424815,36.013746618596315
2026-09-28,35.00298657746439,33.9392755405334,36.06669761439538
2026-09-29,35.02284732606933,33.92640402418149,36.11929062795718
2026-09-30,35.04260971181619,33.91366612752894,36.17155329610344
2026-10-01,35.06227422185941,33.90103848048459,36.223509963234235
2026-10-02,35.081841340940734,33.88850050697395,36.27518217490752
2026-10-05,35.10131155140117,33.876034021058295,36.32658908174404
2026-10-06,35.12068533319285,33.86362289370352,36.377747772682184
2026-10-07,35.13996316389091,33.851252775754126,36.428673552027696
2026-10-08,35.159145518705216,33.838910866022275,36.47938017138816
2026-10-09,35.1782328704921,33.826585715890566,36.52988002509364
2026-10-12,35.19722568976603,33.81426706369377,36.58018431583829
2026-10-13,35.21612444471117,33.80194569356006,36.63030319586228
2026-10-14,35.23492960119295,33.789613314475815,36.68024588791009
2026-10-15,35.25364162276955,33.77726245617526,36.73002078936384
2026-10-16,35.27226097070331,33.76488637910818,36.77963556229844
2026-10-19,35.29078810397211,33.752478996251774,36.82909721169245
2026-10-20,35.3092234792807,33.740034804937544,36.87841215362386
2026-10-21,35.32756755107193,33.72754882718748,36.927586274956376
2026-10-22,35.34582077153796,33.715016557312936,36.97662498576298
2026-10-23,35.36398359063141,33.70243391573839,37.02553326552444
2026-10-26,35.38205645607648,33.68979720818249,37.07431570397046
2026-10-27,35.40003981337991,33.67710308946704,37.122976537292786
2026-10-28,35.41793410584207,33.66434853133854,37.171519680345604
2026-10-29,35.435739774567786,33.65153079378066,37.21994875535491
2026-10-30,35.45345725847727,33.638647399373745,37.2682671175808
2026-11-02,35.471086994316934,33.625696110322245,37.31647787831162
2026-11-03,35.48862941667014,33.61267490782498,37.364583925515305
2026-11-04,35.50608495796793,33.59958197350869,37.412587942427166
2026-11-05,35.52345404849965,33.58641567268347,37.46049242431583
2026-11-06,35.54073711642362,33.573174539211244,37.508299693636
2026-11-09,35.55793458777764,33.55985726180573,37.55601191374954
2026-11-10,35.57504688648948,33.546462671605894,37.60363110137307
2026-11-11,35.59207443438739,33.532989730884935,37.65115913788985
2026-11-12,35.60901765121044,33.51943752277381,37.69859777964707
2026-11-13,35.6258769546189,33.50580524189337,37.745948667344436
2026-11-16,35.64265276020453,33.49209218580153,37.79321333460752
2026-11-17,35.659345481500786,33.47829774717328,37.84039321582829
2026-11-18,35.6759555299931,33.4644214066406,37.8874896533456
2026-11-19,35.69248331512892,33.450462726227755,37.93450390403008
2026-11-20,35.708929244327884,33.436421343324795,37.98143714533097
2026-11-23,35.72529372299183,33.422296965148014,38.02829048083564
2026-11-24,35.741577154514786,33.40808936364222,38.07506494538735
2026-11-25,35.75777994029292,33.39379837078401,38.12176150980183
2026-11-26,35.77390247973444,33.379423874249845,38.16838108521903
