ds,yhat,yhat_lower,yhat_upper
2026-09-18,7.208548001466124,7.182599381891122,7.234496621041125
2026-09-21,7.21466025419086,7.1789850776872,7.25033543069452
2026-09-22,7.220915172966645,7.178319914446518,7.263510431486773
2026-09-23,7.227164603317281,7.178443110664551,7.2758860959700105
2026-09-24,7.233408550058626,7.17908294403307,7.287734156084182
2026-09-25,7.239647018002315,7.1800895832036735,7.299204452800956
2026-09-28,7.24588001195576,7.181370307726531,7.3103897161849885
2026-09-29,7.2521075367221535,7.18286318085413,7.321351892590177
2026-09-30,7.2583295971004755,7.184524505162212,7.332134689038739
2026-10-01,7.264546197885494,7.186322157755121,7.342770238015867
2026-10-02,7.2707573438677695,7.188231754807132,7.353282932928407
2026-10-05,7.27696303983366,7.190234304633807,7.363691775033513
2026-10-06,7.283163290565323,7.192314699860958,7.374011881269688
2026-10-07,7.289358100840719,7.194460709437342,7.384255492244096
2026-10-08,7.295547475433618,7.196662282170958,7.394432668696278
2026-10-09,7.301731419113599,7.198911051892521,7.404551786334677
2026-10-12,7.307909936646058,7.201199977368005,7.414619895924111
2026-10-13,7.314083032792208,7.203523074781102,7.4246429908033145
2026-10-14,7.320250712309086,7.205875215351423,7.434626209266749
2026-10-15,7.326412979949553,7.208251969758718,7.444573990140388
2026-10-16,7.3325698404623,7.210649486833426,7.454490194091174
2026-10-19,7.338721298591852,7.21306439775308,7.464378199430624
2026-10-20,7.34486735907857,7.215493739508546,7.474240978648594
2026-10-21,7.351008026658657,7.217934893125657,7.484081160191657
2026-10-22,7.357143306064158,7.220385533323967,7.493901078804349
2026-10-23,7.363273202022967,7.222843587139554,7.5037028169063795
2026-10-26,7.36939771925883,7.225307199645348,7.513488238872311
2026-10-27,7.375516862491347,7.227774705343785,7.523259019638909
2026-10-28,7.381630636435978,7.230244604131985,7.533016668739971
2026-10-29,7.387739045804045,7.232715540982323,7.542762550625767
2026-10-30,7.393842095302735,7.235186288664303,7.552497901941167
2026-11-02,7.399939789635106,7.237655732973116,7.562223846297095
2026-11-03,7.406032133500088,7.240122860037486,7.57194140696269
2026-11-04,7.4121191315924895,7.242586745362652,7.581651517822327
2026-11-05,7.418200788602998,7.245046544329442,7.591355032876553
2026-11-06,7.424277109218185,7.247501483921697,7.601052734514672
2026-11-09,7.43034809812051,7.249950855495079,7.610745340745941
2026-11-10,7.436413759988326,7.252394008432884,7.6204335115437685
2026-11-11,7.442474099495879,7.254830344560696,7.630117854431062
2026-11-12,7.448529121313312,7.257259313212935,7.639798929413689
2026-11-13,7.454578830106674,7.259680406861661,7.649477253351686
2026-11-16,7.460623230537916,7.262093157232097,7.659153303843735
2026-11-17,7.4666623272649,7.26449713184102,7.66882752268878
2026-11-18,7.472696124941402,7.266891930903764,7.67850031897904
2026-11-19,7.478724628217113,7.269277184563563,7.688172071870662
2026-11-20,7.484747841737644,7.271652550403668,7.697843133071619
2026-11-23,7.49076577014453,7.274017711208219,7.707513829080841
2026-11-24,7.496778418075234,7.276372372942571,7.7171844632078965
2026-11-25,7.5027857901631485,7.278716262927747,7.72685531739855
2026-11-26,7.508787891037602,7.2810491281870355,7.736526653888168
2026-11-27,7.514784725323859,7.283370733945619,7.7461987167021
2026-11-30,7.5207762976431285,7.285680862266577,7.75587173301968
2026-12-01,7.526762612612561,7.287979310808665,7.765545914416458
2026-12-02,7.532743674845258,7.290265891693077,7.775221457997438
2026-12-03,7.538719488950272,7.292540430467971,7.784898547432572
2026-12-04,7.544690059532612,7.29480276516082,7.794577353904404
2026-12-07,7.550655391193247,7.297052745409851,7.804258036976642
2026-12-08,7.556615488529107,7.299290231666824,7.81394074539139
2026-12-09,7.562570356133089,7.301515094464255,7.823625617801923
2026-12-10,7.568519998594062,7.303727213741005,7.833312783447119
2026-12-11,7.574464420496865,7.305926478220743,7.843002362772986
2026-12-14,7.580403626422315,7.308112784838464,7.852694468006167
2026-12-15,7.586337620947213,7.310286038210684,7.862389203683742
2026-12-16,7.592266408644339,7.312446150145434,7.872086667143244
